source_file,id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol prod.,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption,natgas_consumption - ethanol prod.,investment_cost,investment_cost - ethanol prod.,fixed_om_cost,fixed_om_cost - ethanol prod.,variable_om_cost,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,h2_production,ethane_consumption,natgas_production,LCOE ($/t-ethylene)
LCOE_SC_ESC_6a.csv,MIDAT_F-H2in_RETROFIT,6.799679834797008,0.0,,,,0.0,,0.0,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026684,0.0,464.0112593129612,0.0,667.4205886715617
LCOE_SC_ESC_6a.csv,TX_F-NGin_RETROFIT,0.0,0.0,,,,3.3311981247685583,,0.0,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,677.0817561479209
LCOE_SC_ESC_6a.csv,CEN_F-NGin_RETROFIT,0.0,0.0,,,,3.333595637532384,,0.0,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,677.0841536606848
LCOE_SC_ESC_6a.csv,NCEN_F-NGin_RETROFIT,0.0,0.0,,,,3.333595637532384,,0.0,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,677.0841536606848
LCOE_SC_ESC_6a.csv,SE_F-NGin_RETROFIT,0.0,0.0,,,,3.333595637532384,,0.0,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,677.0841536606848
LCOE_SC_ESC_6a.csv,MIDAT_F-NGin_RETROFIT,0.0,0.0,,,,3.333595637532384,,0.0,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,677.0841536606848
LCOE_SC_ESC_6a.csv,TX_F-H2in-CH4out_RETROFIT,46.45395664609276,0.0,,,,0.0,,0.0,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026886,0.0,464.0112593129612,-29.48742110872601,677.5874443741336
LCOE_SC_ESC_6a.csv,CEN_F-H2in-CH4out_RETROFIT,52.05734492872453,0.0,,,,0.0,,0.0,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026886,0.0,464.0112593129612,-29.50864364363164,683.1696101218597
LCOE_SC_ESC_6a.csv,NCEN_F-H2in-CH4out_RETROFIT,58.39465264213196,0.0,,,,0.0,,0.0,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026886,0.0,464.0112593129612,-29.50864364363164,689.5069178352671
LCOE_SC_ESC_6a.csv,SE_F-H2in-CH4out_RETROFIT,63.81829035975812,0.0,,,,0.0,,0.0,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026886,0.0,464.0112593129612,-29.50864364363164,694.9305555528933
LCOE_SC_ESC_6a.csv,MIDAT_F-H2in-CH4out_RETROFIT,66.57850153596534,0.0,,,,0.0,,0.0,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026886,0.0,464.0112593129612,-29.50864364363164,697.6907667291006
LCOE_BIO_ETHYLENE_6a.csv,TX_B-H2in,31.29851845643106,4.711016183697387,38.56281379064696,0.0,2894.47686995039,0.0,0.0,11.843234411429815,471.8151588554135,11.386217261862534,253.3121679948631,1.561329733270561,11.942676406882471,-2958.9683134385377,0.0170913551796767,,,,771.9587809615296
LCOE_BIO_ETHYLENE_6a.csv,NW_B-H2in,39.49182129662551,6.036673927162978,49.41420778252049,0.0,2945.8912646957497,0.0,0.0,11.843234411429815,471.8151588554135,11.386217261862534,253.3121679948631,1.561329733270561,11.942676406882471,-3014.7530825052577,0.0170913551796767,,,,787.9587612157025
LCOE_BIO_ETHYLENE_6a.csv,SW_B-H2in,38.73523153923364,6.59771940273731,54.00673970324032,0.0,2988.278054470386,0.0,0.0,11.843234411429815,471.8151588554135,11.386217261862534,253.3121679948631,1.561329733270561,11.942676406882471,-3012.6013481592136,0.0170913551796767,,,,836.8942729752853
LCOE_SC_ESC_6a.csv,SW_F-CC90-NGin,0.0,4.351336994953357,,,,4.005662885837207,,258.2334009198329,,141.334415469421,,-46.79224006554788,,-111.60401237336046,129.41027202665384,0.0,464.0112593129612,0.0,842.9500951707511
LCOE_SC_ESC_6a.csv,TX_F-CC90-NGin,0.0,3.10701588725364,,,,3.3311981247685583,,258.2334009198329,,141.334415469421,,-46.79224006554788,,-109.61713751710224,129.41027202665384,0.0,464.0112593129612,0.0,843.018184158241
LCOE_SC_ESC_6a.csv,CEN_F-CC90-NGin,0.0,3.953918507918888,,,,3.333595637532384,,258.2334009198329,,141.334415469421,,-46.79224006554788,,-105.47802619276708,129.41027202665384,0.0,464.0112593129612,0.0,848.0065956160053
LCOE_BIO_ETHYLENE_6a.csv,TX_B-NGin,0.0,4.711016183697387,38.56281379064696,0.0,2894.47686995039,21.922435830124492,0.0,11.843234411429815,471.8151588554135,11.386217261862534,253.3121679948631,1.561329733270561,11.942676406882471,-2958.9683134385377,86.40281461420032,,,,848.9684215942433
LCOE_SC_ESC_6a.csv,NCEN_F-CC90-NGin,0.0,4.899430650107875,,,,3.333595637532384,,258.2334009198329,,141.334415469421,,-46.79224006554788,,-101.41597187737284,129.41027202665384,0.0,464.0112593129612,0.0,853.0141620735885
LCOE_SC_ESC_6a.csv,TX_F-Ein_RETROFIT,0.0,69.55389944483082,,,,0.0,,161.7220230821755,,171.68143834298223,,-39.00362628463738,,0.0,116.28062284026886,-60.93330037894384,464.0112593129612,-29.48742110872601,853.8248952509114
LCOE_SC_ESC_6a.csv,SE_F-CC90-NGin,0.0,6.201227864095495,,,,3.333595637532384,,258.2334009198329,,141.334415469421,,-46.79224006554788,,-98.94786514160931,129.41027202665384,0.0,464.0112593129612,0.0,856.7840660233396
LCOE_SC_ESC_6a.csv,MIDAT_F-CC90-NGin,0.0,6.460199122182283,,,,3.333595637532384,,258.2334009198329,,141.334415469421,,-46.79224006554788,,-95.13165068813908,129.41027202665384,0.0,464.0112593129612,0.0,860.8592517348967
LCOE_BIO_ETHYLENE_6a.csv,NW_B-NGin,0.0,6.036673927162978,49.41420778252049,0.0,2945.8912646957497,26.36105217487733,0.0,11.843234411429815,471.8151588554135,11.386217261862534,253.3121679948631,1.561329733270561,11.942676406882471,-3014.7530825052577,86.40281461420032,,,,861.2137153529751
LCOE_SC_ESC_6a.csv,CEN_F-Ein_RETROFIT,0.0,88.51272741831185,,,,0.0,,161.7220230821755,,171.68143834298223,,-39.00362628463738,,0.0,116.28062284026886,-68.28322202214522,464.0112593129612,-29.50864364363164,865.4125790462855
LCOE_SC_ESC_6a.csv,NE_F-CC90-NGin,0.0,7.505760713993552,,,,3.333595637532384,,258.2334009198329,,141.334415469421,,-46.79224006554788,,-91.16604284826548,129.41027202665384,0.0,464.0112593129612,0.0,865.8704211665814
LCOE_SC_ESC_6a.csv,NCEN_F-Ein_RETROFIT,0.0,109.67903581456846,,,,0.0,,161.7220230821755,,171.68143834298223,,-39.00362628463738,,0.0,116.28062284026886,-76.59582018115117,464.0112593129612,-29.50864364363164,878.2662892835361
LCOE_SC_ESC_6a.csv,SW_F-CC90-NGin-H2out,0.0,5.34752578606092,,,,55.45169785115501,,280.92664042397126,,153.76063060605685,,-46.59224006526772,,-257.02988978325584,298.03863901018354,-75.41141290485228,464.0112593129612,0.0,878.502850237013
LCOE_SC_ESC_6a.csv,TX_F-CC90-NGin-H2out,0.0,3.8183316056787935,,,,46.11486217427719,,280.92664042397126,,153.76063060605685,,-46.59224006526772,,-252.45401285502567,298.03863901018354,-60.93330037894384,464.0112593129612,0.0,886.6908098338913
LCOE_SC_ESC_6a.csv,CEN_F-CC90-NGin-H2out,0.0,4.859122886046755,,,,46.14805172546084,,280.92664042397126,,153.76063060605685,,-46.59224006526772,,-242.9214225397653,298.03863901018354,-68.28322202214522,464.0112593129612,0.0,889.9474593375021
LCOE_SC_ESC_6a.csv,NE_F-CC90-NGin-H2out,0.0,9.224118703891328,,,,46.14805172546084,,280.92664042397126,,153.76063060605685,,-46.59224006526772,,-209.96017479079904,298.03863901018354,-103.95642905590374,464.0112593129612,0.0,891.6004958705546
LCOE_SC_ESC_6a.csv,NCEN_F-CC90-NGin-H2out,0.0,6.021099209014476,,,,46.14805172546084,,280.92664042397126,,153.76063060605685,,-46.59224006526772,,-233.5662985547374,298.03863901018354,-76.59582018115117,464.0112593129612,0.0,892.1519614864919
LCOE_SC_ESC_6a.csv,SE_F-CC90-NGin-H2out,0.0,7.620927992235546,,,,46.14805172546084,,280.92664042397126,,153.76063060605685,,-46.59224006526772,,-227.88211938612145,298.03863901018354,-83.70996438015732,464.0112593129612,0.0,892.3218252393226
LCOE_SC_ESC_6a.csv,MIDAT_F-CC90-NGin-H2out,0.0,7.939187755171372,,,,46.14805172546084,,280.92664042397126,,153.76063060605685,,-46.59224006526772,,-219.0931774878385,298.03863901018354,-87.33051231303828,464.0112593129612,0.0,897.8084789676604
LCOE_SC_ESC_6a.csv,SE_F-Ein_RETROFIT,0.0,138.82116955476334,,,,0.0,,161.7220230821755,,171.68143834298223,,-39.00362628463738,,0.0,116.28062284026886,-83.70996438015732,464.0112593129612,-29.50864364363164,900.2942788247248
LCOE_SC_ESC_6a.csv,TX_F-H2in,4.7443547836885305,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026684,0.0,464.0112593129612,0.0,902.1335701418764
LCOE_SC_ESC_6a.csv,MIDAT_F-Ein_RETROFIT,0.0,144.61852029183711,,,,0.0,,161.7220230821755,,171.68143834298223,,-39.00362628463738,,0.0,116.28062284026886,-87.33051231303828,464.0112593129612,-29.50864364363164,902.4710816289175
LCOE_SC_ESC_6a.csv,CEN_F-H2in,5.316630299552567,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026684,0.0,464.0112593129612,0.0,902.7058456577404
LCOE_SC_ESC_6a.csv,SW_F-H2in,5.871641538121594,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026684,0.0,464.0112593129612,0.0,903.2608568963094
LCOE_SC_ESC_6a.csv,NCEN_F-H2in,5.963861199492274,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026684,0.0,464.0112593129612,0.0,903.3530765576802
LCOE_SC_ESC_6a.csv,SE_F-H2in,6.517778742978367,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026684,0.0,464.0112593129612,0.0,903.9069941011662
LCOE_SC_ESC_6a.csv,MIDAT_F-H2in,6.799679834797008,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026684,0.0,464.0112593129612,0.0,904.1888951929848
LCOE_SC_ESC_6a.csv,NE_F-H2in,8.094197727996152,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026684,0.0,464.0112593129612,0.0,905.483413086184
LCOE_BIO_ETHYLENE_6a.csv,SW_B-NGin,0.0,6.59771940273731,54.00673970324032,0.0,2988.278054470386,26.36105217487733,0.0,11.843234411429815,471.8151588554135,11.386217261862534,253.3121679948631,1.561329733270561,11.942676406882471,-3012.6013481592136,86.40281461420032,,,,910.9058168699496
LCOE_SC_ESC_6a.csv,TX_F-NGin,0.0,0.0,,,,3.3311981247685583,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,913.850062669344
LCOE_SC_ESC_6a.csv,NCEN_F-NGin,0.0,0.0,,,,3.333595637532384,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,913.8524601821078
LCOE_SC_ESC_6a.csv,MIDAT_F-NGin,0.0,0.0,,,,3.333595637532384,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,913.8524601821078
LCOE_SC_ESC_6a.csv,CEN_F-NGin,0.0,0.0,,,,3.333595637532384,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,913.8524601821078
LCOE_SC_ESC_6a.csv,SE_F-NGin,0.0,0.0,,,,3.333595637532384,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,913.8524601821078
LCOE_SC_ESC_6a.csv,NE_F-NGin,0.0,0.0,,,,3.333595637532384,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,913.8524601821078
LCOE_SC_ESC_6a.csv,TX_F-H2in-CH4out,46.45395664609276,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026886,0.0,464.0112593129612,-29.48742110872601,914.3557508955566
LCOE_SC_ESC_6a.csv,SW_F-NGin,0.0,0.0,,,,4.005662885837207,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,129.41027202665444,0.0,464.0112593129612,0.0,914.5245274304126
LCOE_BIO_ETHYLENE_6a.csv,CEN_B-H2in,35.07382123459067,5.995133193957144,49.07416913759139,0.0,2911.683878117426,0.0,0.0,11.843234411429815,471.8151588554135,11.386217261862534,253.3121679948631,1.561329733270561,11.942676406882471,-2847.238528006113,0.0170913551796767,,,,916.4663496963536
LCOE_SC_ESC_6a.csv,SW_F-H2in-CH4out,57.49169147110834,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026886,0.0,464.0112593129612,-35.457713384274555,919.4231934450238
LCOE_SC_ESC_6a.csv,CEN_F-H2in-CH4out,52.05734492872453,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026886,0.0,464.0112593129612,-29.50864364363164,919.9379166432828
LCOE_SC_ESC_6a.csv,NCEN_F-H2in-CH4out,58.39465264213196,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026886,0.0,464.0112593129612,-29.50864364363164,926.2752243566902
LCOE_BIO_ETHYLENE_6a.csv,NCEN_B-H2in,39.34360483867143,7.428766997378721,60.809419293733605,0.0,2798.796372998661,0.0,0.0,11.843234411429815,471.8151588554135,11.386217261862534,253.3121679948631,1.561329733270561,11.942676406882471,-2737.5887936765475,0.0170913551796767,,,,930.6672464707984
LCOE_SC_ESC_6a.csv,SE_F-H2in-CH4out,63.81829035975812,0.0,,,,0.0,,236.76830652142303,,129.58629749253777,,-49.25727080900096,,0.0,116.28062284026886,0.0,464.0112593129612,-29.50864364363164,931.6988620743164
