LCOE for steam/electric cracker ($/t-ethylene),,,,,,,,,,,,,,,
id_LC,h2_consumption,h2_production,elec_consumption,ethane_consumption,natgas_consumption,natgas_production,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/t-ethylene),,,
Existing_NE_F-NGin-H2out,0.0,-106.76679360221198,0.0,464.01125931296116,46.446764607091936,0.0,236.7683070287798,129.5862977462161,-49.262240069007916,0.0,111.56481360858832,832.3484086324174,,,
TX_F-NGin_RETROFIT,0.0,0.0,0.0,464.01125931296116,3.3311981247685583,0.0,0.0,129.58629749253777,-49.257270809000964,0.0,48.44215141244513,596.1136355337117,,,
TX_F-H2in-CH4out_RETROFIT,45.37449636996258,0.0,0.0,464.01125931296116,0.0,-29.48742110872601,0.0,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,603.754690655524,,,
TX_F-CC90-NGin_RETROFIT,0.0,0.0,3.062671712912767,464.01125931296116,3.3311981247685583,0.0,21.466136555687847,141.334415469421,-46.79224006554788,-34.936091343208716,48.44215141244491,599.9195011794397,,,
TX_F-CC90-NGin-H2out_RETROFIT,0.0,-59.51738057358297,3.763835340272455,464.01125931296116,46.11486217427719,0.0,44.16047848032446,153.76063060605685,-46.59224006526772,-80.45964940187135,111.56481360858811,636.8066094817582,,,
TX_F-H2in_RETROFIT,4.634109222392715,0.0,0.0,464.01125931296116,0.0,0.0,0.0,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,592.5017246166793,,,
TX_F-Ein_RETROFIT,0.0,-59.51738057358297,68.56120730710396,464.01125931296116,0.0,-29.48742110872601,161.7220230821755,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,781.494829476066,,,
NCEN_F-NGin_RETROFIT,0.0,0.0,0.0,464.01125931296116,3.3551737523573424,0.0,0.0,129.58629749253777,-49.257270809000964,0.0,48.44215141244513,596.1376111613005,,,
NCEN_F-H2in-CH4out_RETROFIT,67.50381039120515,0.0,0.0,464.01125931296116,0.0,-29.69965088329266,0.0,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,625.6717749022,,,
NCEN_F-CC90-NGin_RETROFIT,0.0,0.0,4.663474129057721,464.01125931296116,3.3551737523573424,0.0,21.466136555687847,141.334415469421,-46.79224006554788,-26.734925703479306,48.44215141244491,609.7454448629028,,,
NCEN_F-CC90-NGin-H2out_RETROFIT,0.0,-88.54423287615775,5.731123143688271,464.01125931296116,46.446764607091936,0.0,44.16047848032446,153.76063060605685,-46.59224006526772,-61.57193510158303,111.56481360858811,628.9666617157023,,,
NCEN_F-H2in_RETROFIT,6.894181871021634,0.0,0.0,464.01125931296116,0.0,0.0,0.0,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,594.7617972653082,,,
NCEN_F-Ein_RETROFIT,0.0,-88.54423287615775,104.39689477183914,464.01125931296116,0.0,-29.69965088329266,161.7220230821755,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,788.0914348636597,,,
CEN_F-NGin_RETROFIT,0.0,0.0,0.0,464.01125931296116,3.3551737523573424,0.0,0.0,129.58629749253777,-49.257270809000964,0.0,48.44215141244513,596.1376111613005,,,
CEN_F-H2in-CH4out_RETROFIT,62.856195092597204,0.0,0.0,464.01125931296116,0.0,-29.69965088329266,0.0,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,621.0241596035921,,,
CEN_F-CC90-NGin_RETROFIT,0.0,0.0,3.813583373242008,464.01125931296116,3.3551737523573424,0.0,21.466136555687847,141.334415469421,-46.79224006554788,-30.79698001887353,48.44215141244491,604.8334997916929,,,
CEN_F-CC90-NGin-H2out_RETROFIT,0.0,-82.44799136128839,4.686659628835166,464.01125931296116,46.446764607091936,0.0,44.16047848032446,153.76063060605685,-46.59224006526772,-70.92705908661095,111.56481360858811,624.6633157306907,,,
CEN_F-H2in_RETROFIT,6.419519700849975,0.0,0.0,464.01125931296116,0.0,0.0,0.0,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,594.2871350951367,,,
CEN_F-Ein_RETROFIT,0.0,-82.44799136128839,85.37117417233848,464.01125931296116,0.0,-29.69965088329266,161.7220230821755,171.68143834298223,-39.003626284637384,0.0,43.52732939778948,775.1619557790285,,,
SE_F-NGin_RETROFIT,0.0,0.0,0.0,464.01125931296116,3.3551737523573424,0.0,0.0,129.58629749253777,-49.257270809000964,0.0,48.44215141244513,596.1376111613005,,,
SE_F-H2in-CH4out_RETROFIT,73.52154744083924,0.0,0.0,464.01125931296116,0.0,-29.69965088329266,0.0,129.58629749253777,-49.257270809000964,0.0,43.52732939778948,631.689511951834,,,
SE_F-CC90-NGin_RETROFIT,0.0,0.0,5.784586071555897,464.01125931296116,3.3551737523573424,0.0,21.466136555687847,141.334415469421,-46.79224006554788,-24.26681896771577,48.44215141244491,613.3346635411647,,,
SE_F-CC90-NGin-H2out_RETROFIT,0.0,-96.43765263457342,7.108900830988289,464.01125931296116,46.446764607091936,0.0,44.16047848032446,153.76063060605685,-46.59224006526772,-55.88775593296708,111.56481360858811,628.1351988132026,,,
SE_F-H2in_RETROFIT,7.508774935201725,0.0,0.0,464.01125931296116,0.0,0.0,0.0,129.58629749253777,-49.257270809000964,0.0,43.52732939778871,595.3763903294883,,,
