source_file,id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol prod.,elec_production,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption - ethanol prod.,investment_cost,investment_cost - ethanol prod.,fixed_om_cost,fixed_om_cost - ethanol prod.,variable_om_cost,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,biomass_consumption,LCOE ($/MWh-fuel)
LCOE_BIOLF_6.csv,NW_Gasoline_Gasification_CCS_99_Herb,,15.346262881129933,,0.0,,,,36.987902441092416,,27.224083999964016,,14.19289841473653,,-60.48439053183441,0.000293227249023,66.62090473603634,99.88795516837384
LCOE_BIOLF_6.csv,NW_Gasoline_Gasification_CCS_99_Agri,,16.731987781606723,,0.0,,,,40.327807265220784,,29.682343146417804,,15.474477708378204,,-64.81752893589241,0.0006247746132209,62.48824359250485,99.88795533284916
LCOE_BIOLF_6.csv,NW_Gasoline_Gasification_CCS_99_Wood,,14.480939329884896,,0.0,,,,34.90228046645605,,25.689010527763244,,13.392609161657113,,-59.96755149882307,-0.0005857015553365,71.39125308728272,99.88795537266562
LCOE_BIOLF_6.csv,NE_Gasoline_Gasification_Non_CCS_Agri,,0.0,,0.0,,,,23.25996207472296,,18.52046265409626,,11.352286773794807,,0.0,0.0003791797882889,46.75753656777916,99.89062725018148
LCOE_BIOLF_6.csv,MIDAT_Gasoline_Gasification_Non_CCS_Agri,,0.0,,0.0,,,,23.52898945726898,,18.734672444093626,,11.4835886214442,,0.0,0.0005855479706472,46.14376002917578,99.89159609995323
LCOE_BIOLF_6.csv,SE_Gasoline_Gasification_Non_CCS_Agri,,0.0,,0.0,,,,23.59783799993839,,18.78949226104781,,11.517190929041696,,0.0,-4.7308050640707903e-05,45.98737119866235,99.8918450806396
LCOE_BIOLF_6.csv,MIDAT_FT_High_Jetfuel_CCS_84_Herb,,0.0,,-4.291689341952761,,,,43.67140376267183,,19.546360144654344,,22.07744314689613,,-24.951280292265952,0.0005291803669474,43.84868206163842,99.90144866200896
LCOE_BIOLF_6.csv,CEN_Gasoline_Gasification_CCS_99_Agri,,15.290516245398772,,0.0,,,,39.272614783161885,,28.905693299526583,,15.069582087986996,,-48.82571079436022,-0.0005365847387776,50.31939279534371,100.03155183231893
LCOE_BIOLF_6.csv,NCEN_Gasoline_Gasification_CCS_31_Herb,,1.5714556005105296,,0.0,,,,27.06194809769392,,22.04713921544791,,11.5788130185067,,-12.48179770574427,5.80515897077708e-05,50.26882774532424,100.04644402332872
LCOE_BIOLF_6.csv,SW_Gasoline_Gasification_CCS_99_Agri,,17.153842769507296,,0.0,,,,39.594419355555104,,29.14255005895916,,15.193064072742652,,-58.57750947171987,0.0001570877302698,57.66519877352506,100.17172264629968
