UNSORTED,,,,,,,,,,,,,SORTED,,,,,,,,,,,
id,elec_production,elec_consumption,biomass_consumption,natgas_consumption,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/MWh-ethanol),LCOE ($/GJ-ethanol),,id,elec_production,elec_consumption,biomass_consumption,natgas_consumption,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/MWh-ethanol),LCOE ($/GJ-ethanol)
CEN_Bio_Ethanol_CCS_20_Wood,0.0,0.0,62.51775551488296,0.0,17.901596436060082,9.466227889407486,0.23119160003853192,-10.342856317499015,-0.0002168663463653212,79.77369825654368,,,NW_DryMill_Existing_Non_CCS,0.0,0.7358636601143845,51.54077946979481,4.457549226705155,0.0,7.22087243778104,-8.18532003954679,0.0,6.623714419066479,62.39345917391508,
MIDAT_Bio_Ethanol_CCS_20_Wood,0.0,0.0,52.93685123447842,0.0,17.957817326447284,9.495957068168249,0.23191766922742424,-7.495891389462353,0.00018267779579782362,73.12683458665484,,,NCEN_DryMill_Existing_Non_CCS,0.0,0.8448152277830977,51.54077946979481,4.381581415267944,0.0,7.22087243778104,-8.18532003954679,0.0,6.623714419066479,62.426442930146585,
NCEN_Bio_Ethanol_CCS_20_Wood,0.0,0.0,56.82352657703244,0.0,17.911085981662545,9.471245888866958,0.23131415353476942,-9.042442184018372,-0.0003557293110144219,75.39437468776732,,,SW_DryMill_Existing_Non_CCS,0.0,0.7701334035381109,51.54077946979481,4.457496016070275,0.0,7.22087243778104,-8.18532003954679,0.0,6.623714419066479,62.42767570670393,
SE_Bio_Ethanol_CCS_20_Wood,0.0,0.0,55.5075179959689,0.0,17.836306037310653,9.43170282368165,0.23034840195796139,-8.335541390011326,-0.0004754237766682961,74.66985844513117,,,SE_DryMill_Existing_Non_CCS,0.0,1.0510573049050351,51.54077946979481,4.381550402934732,0.0,7.22087243778104,-8.18532003954679,0.0,6.623714419066479,62.63265399493531,
TX_Bio_Ethanol_CCS_20_Wood,0.0,0.0,77.97544297030666,0.0,18.06254289767602,9.551335152834632,0.2332701559994168,-11.985856074850195,-0.00011330395506143057,93.83662179801148,,,CA_DryMill_Existing_Non_CCS,0.0,1.0053136927072917,51.54077946979481,4.457038012875569,0.0,7.22087243778104,-8.18532003954679,0.0,6.623714419066479,62.66239799267841,
CEN_Bio_Ethanol_CCS_20_Agri,0.0,0.0,54.20562212474591,0.0,19.881937798517143,10.513417323198794,0.2567668770728576,-11.015417030982915,0.0005746389738791586,73.84290173152569,,,MIDAT_DryMill_Existing_Non_CCS,0.0,1.0825827669928705,51.54077946979481,4.381770753723347,0.0,7.22087243778104,-8.18532003954679,0.0,6.623714419066479,62.66439980781176,
MIDAT_Bio_Ethanol_CCS_20_Agri,0.0,0.0,47.9565539786318,0.0,19.75617632517299,10.446915613664926,0.2551427204592569,-7.907755342056145,-0.00046264719701112226,70.50657064867582,,,NE_DryMill_Existing_Non_CCS,0.0,1.3054571304581477,51.54077946979481,4.38168489852719,0.0,7.22087243778104,-8.18532003954679,0.0,6.623714419066479,62.88718831608088,
NCEN_Bio_Ethanol_CCS_20_Agri,0.0,0.0,49.60205309264667,0.0,19.733100356011654,10.434713216876997,0.2548447040084948,-9.602185198830286,-0.00015638237425663653,70.42236978833928,,,CEN_Bio_Ethanol_CCS_86_Agri,0.0,3.5716983391462507,54.20562212474591,0.0,35.29266533343734,18.94822877590039,0.8933347598159838,-46.3925975191162,0.0005746389738791586,66.51952645290356,
SE_Bio_Ethanol_CCS_20_Agri,0.0,0.0,47.79124580201504,0.0,19.813046815154298,10.476988295744883,0.25587717895410206,-8.678663002113586,0.0001310751934815645,69.65862616494823,,,NCEN_Bio_Ethanol_CCS_86_Agri,0.0,4.294216927209981,49.60205309264667,0.0,35.02846221095182,18.806381138130178,0.8866471993628883,-40.440621719575375,-0.00015638237428127077,68.17698246635187,
TX_Bio_Ethanol_CCS_20_Agri,0.0,0.0,62.940523197873986,0.0,20.577618492164735,10.88128797696148,0.2657513010740782,-12.336298730305126,-0.00016047210515816873,82.32872176566399,,,CEN_Bio_Ethanol_CCS_86_Herb,0.0,3.3640330890769854,56.806854091092305,0.0,33.240683481624224,17.846543164887237,0.8413945989520355,-43.57178087607974,0.00046514504074308624,68.5281926945938,
CEN_Bio_Ethanol_CCS_86_Herb,0.0,3.3640330890769854,56.806854091092305,0.0,33.240683481624224,17.846543164887237,0.8413945989520355,-43.57178087607974,0.00046514504074308624,68.5281926945938,,,SE_Bio_Ethanol_CCS_20_Agri,0.0,0.0,47.79124580201504,0.0,19.813046815154298,10.476988295744883,0.25587717895410206,-8.678663002113586,0.0001310751934815645,69.65862616494823,
MIDAT_Bio_Ethanol_CCS_86_Herb,0.0,5.202025145151575,51.008372314796226,0.0,33.113887057984215,17.778467613766406,0.838185103392893,-31.506861464957733,0.00019212493449440382,76.43426789506806,,,NCEN_Bio_Ethanol_CCS_20_Agri,0.0,0.0,49.60205309264667,0.0,19.733100356011654,10.434713216876997,0.2548447040084948,-9.602185198830286,-0.00015638237425663653,70.42236978833928,
NCEN_Bio_Ethanol_CCS_86_Herb,0.0,4.050762549406521,53.32462763559874,0.0,33.04257453514687,17.740180735046923,0.8363800270446237,-38.26493658329606,-0.0005115382343781784,70.7290773607132,,,MIDAT_Bio_Ethanol_CCS_20_Agri,0.0,0.0,47.9565539786318,0.0,19.75617632517299,10.446915613664926,0.2551427204592569,-7.907755342056145,-0.00046264719701112226,70.50657064867582,
SE_Bio_Ethanol_CCS_86_Herb,0.0,5.078321465556397,50.715389351501386,0.0,33.29604268197212,17.87626488703921,0.8427958617209185,-34.704255162829575,3.001358676909879e-05,73.10458909854725,,,NCEN_Bio_Ethanol_CCS_86_Herb,0.0,4.050762549406521,53.32462763559874,0.0,33.04257453514687,17.740180735046923,0.8363800270446237,-38.26493658329606,-0.0005115382343781784,70.7290773607132,
TX_Bio_Ethanol_CCS_86_Herb,0.0,2.6959540970598654,71.0324219422094,0.0,33.38702928714526,17.925114555775615,0.8450989322402712,-49.12267079601909,0.000594976999885926,76.76354299541123,,,TX_Bio_Ethanol_CCS_86_Agri,0.0,2.9495487161997564,62.940523197873986,0.0,36.527576444650514,19.61123844184929,0.9245930683202302,-51.95563093624991,-0.00016047210515816873,70.99768846053873,
CEN_Bio_Ethanol_CCS_86_Wood,0.0,3.2159391557653407,62.51775551488296,0.0,31.777337720030705,17.06088954516337,0.8043541084673923,-43.56003671818898,-0.00021686634638995545,71.81602245977439,,,SE_Bio_Ethanol_CCS_20_Herb,0.0,0.0,50.715389351501386,0.0,18.757150906155914,9.918638578848258,0.24224072672218017,-8.240147433234135,3.0013586781415905e-05,71.39330214358039,
MIDAT_Bio_Ethanol_CCS_86_Wood,0.0,5.0077377876987,52.93685123447842,0.0,31.877136094278278,17.11447015203565,0.8068802241870802,-31.569741871797778,0.00018267779581014073,76.17351629867616,,,SE_Bio_Ethanol_CCS_86_Agri,0.0,5.364195311050696,47.79124580201504,0.0,35.17037612576777,18.88257309753622,0.8902393517778133,-36.55111000597075,0.00013107519346924738,71.54765075737026,
NCEN_Bio_Ethanol_CCS_86_Wood,0.0,3.8977194267264226,56.82352657703244,0.0,31.794182725809723,17.069933436300992,0.8047804925063852,-38.083204626126594,-0.000355729311026739,72.30658230293834,,,CEN_Bio_Ethanol_CCS_86_Wood,0.0,3.2159391557653407,62.51775551488296,0.0,31.777337720030705,17.06088954516337,0.8043541084673923,-43.56003671818898,-0.00021686634638995545,71.81602245977439,
