Levelized cost for Ethanol Upgrade Production - $/MWh-fuel,,,,,,,,,,,,,,,,,
id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol,elec_production,elec_production - ethanol,biomass_consumption - ethanol,natgas_consumption - ethanol,investment_cost,investment_cost - ethanol,fixed_om_cost,fixed_om_cost - ethanol,variable_om_cost,variable_om_cost - ethanol,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel),
NE_Ethanol_to_JetFuel,0.8372147821856964,0.0,1.3751087458613422,0.0,0.0,54.42919500629681,4.628576360667261,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-8.055562905556595,6.281507850803703,133.6038533852282,
CA_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.055863599653226,0.0,0.0,54.25033433530679,4.7137996160766304,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-17.10447899389275,6.3469977507286295,93.75401870665867,
NW_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.7751531571282008,0.0,0.0,54.25033433530679,4.714098554352704,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-16.93699050759929,6.3469977507286295,93.64109568870319,
SW_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.8089999871438068,0.0,0.0,54.25033433530679,4.7140679733106685,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-15.692614206749214,6.3469977507286295,94.91928823852683,
TX_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.5837977451178621,0.0,0.0,54.25033433530679,4.57892072755578,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-14.842492838388075,6.3469977507286295,95.40906011910715,
NCEN_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.888761276342861,0.0,0.0,54.25033433530679,4.613243652149953,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-11.343895183478313,6.3469977507286295,99.24694422983607,
CEN_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.7268372387275664,0.0,0.0,54.25033433530679,4.613225440967619,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-13.077636275331914,6.3469977507286295,97.35126088918484,
SE_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.102462672930172,0.0,0.0,54.25033433530679,4.613223379324335,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-10.335639238927676,6.3469977507286295,100.4688812981484,
MIDAT_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.1371761580072883,0.0,0.0,54.25033433530679,4.613418204614604,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-9.50045781182753,6.3469977507286295,101.33897103561593,
NE_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.3705899784435887,0.0,0.0,54.25033433530679,4.613366319925308,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-8.02909138808654,6.3469977507286295,103.04369939510393,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
0.0,,,,,,,,,,,,,,,0.0,,
