Levelized cost for Ethanol Upgrade Production - $/MWh-fuel,,,,,,,,,,,,,,,,,
id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol prod.,elec_production,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption - ethanol prod.,investment_cost,investment_cost - ethanol prod.,fixed_om_cost,fixed_om_cost - ethanol prod.,variable_om_cost,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel),
SW_Ethanol_to_JetFuel,0.6626876660106674,0.0,0.8123841976708808,0.0,0.0,54.42919500629681,4.721808554645323,44.35867113581186,1.9494224548542822,24.30359709379617,8.693605915749014,14.045350129172764,-8.599812810994896,-15.813834212782476,6.778014436979778,136.3410895672102,
TX_Ethanol_to_JetFuel,0.4663117563354482,0.0,0.5863184400214905,0.0,0.0,54.42919500629681,4.594044437347678,44.35867113581186,1.9494224548542822,24.30359709379617,8.693605915749014,14.045350129172764,-8.599812810994896,-14.962870359860304,6.778014436979778,136.6418476355101,
NCEN_Ethanol_to_JetFuel,0.6937337689922201,0.0,0.8927763510863698,0.0,0.0,54.42919500629681,4.627109146929858,44.35867113581186,1.9494224548542822,24.30359709379617,8.693605915749014,14.045350129172764,-8.599812810994896,-11.450371578542963,6.778014436979778,140.72129105013127,
CEN_Ethanol_to_JetFuel,0.645970425571398,0.0,0.730073107366971,0.0,0.0,54.42919500629681,4.627109146929858,44.35867113581186,1.9494224548542822,24.30359709379617,8.693605915749014,14.045350129172764,-8.599812810994896,-13.19011949478403,6.778014436979778,138.77107654674998,
SE_Ethanol_to_JetFuel,0.755577794982058,0.0,1.1074022290228067,0.0,0.0,54.42919500629681,4.627109146929858,44.35867113581186,1.9494224548542822,24.30359709379617,8.693605915749014,14.045350129172764,-8.599812810994896,-10.39329965945701,6.778014436979778,142.05483287314348,
MIDAT_Ethanol_to_JetFuel,0.7873407675598996,0.0,1.1429996303949475,0.0,0.0,54.42919500629681,4.627109146929858,44.35867113581186,1.9494224548542822,24.30359709379617,8.693605915749014,14.045350129172764,-8.599812810994896,-10.008840534748792,6.778014436979778,142.5066523718017,
NE_Ethanol_to_JetFuel,0.8365054134295983,0.0,1.3764754625498348,0.0,0.0,54.42919500629681,4.627109146929858,44.35867113581186,1.9494224548542822,24.30359709379617,8.693605915749014,14.045350129172764,-8.599812810994896,-8.380722155323427,6.778014436979778,144.41741122925163,
CA_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.0570167283410783,0.0,0.0,54.25033433530679,4.706292142060632,30.200900542001456,1.9430164257318987,16.546720181413264,8.66503771467175,6.315426529445472,-8.571552824978474,-17.486005649040337,6.826175265085579,104.45336139003912,
NW_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.7754386758424552,0.0,0.0,54.25033433530679,4.706292142060632,30.200900542001456,1.9430164257318987,16.546720181413264,8.66503771467175,6.315426529445472,-8.571552824978474,-17.330193709496307,6.826175265085579,104.32759527708451,
SW_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.8097146086262459,0.0,0.0,54.25033433530679,4.706292142060632,30.200900542001456,1.9430164257318987,16.546720181413264,8.66503771467175,6.315426529445472,-8.571552824978474,-15.761868112642727,6.826175265085579,105.9301968067219,
TX_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.5843917293732082,0.0,0.0,54.25033433530679,4.578947872525676,30.200900542001456,1.9430164257318987,16.546720181413264,8.66503771467175,6.315426529445472,-8.571552824978474,-14.913700626003472,6.826175265085579,106.42569714457316,
NCEN_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.8898425840670182,0.0,0.0,54.25033433530679,4.611903927623048,30.200900542001456,1.9430164257318987,16.546720181413264,8.66503771467175,6.315426529445472,-8.571552824978474,-11.412744324577766,6.826175265085579,110.26506035579006,
CEN_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.7276740021470551,0.0,0.0,54.25033433530679,4.611903927623048,30.200900542001456,1.9430164257318987,16.546720181413264,8.66503771467175,6.315426529445472,-8.571552824978474,-13.146775226638916,6.826175265085579,108.36886087180893,
SE_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.1037631763835762,0.0,0.0,54.25033433530679,4.611903927623048,30.200900542001456,1.9430164257318987,16.546720181413264,8.66503771467175,6.315426529445472,-8.571552824978474,-10.359146066873551,6.826175265085579,111.53257920581082,
MIDAT_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.1392436005508513,0.0,0.0,54.25033433530679,4.611903927623048,30.200900542001456,1.9430164257318987,16.546720181413264,8.66503771467175,6.315426529445472,-8.571552824978474,-9.975950319604692,6.826175265085579,111.95125537724695,
NE_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.3719522039419412,0.0,0.0,54.25033433530679,4.611903927623048,30.200900542001456,1.9430164257318987,16.546720181413264,8.66503771467175,6.315426529445472,-8.571552824978474,-8.353182126706274,6.826175265085579,113.80673217353646,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
