Levelized cost for Ethanol Upgrade Production - $/MWh-fuel,,,,,,,,,,,,,,,,,
id_LC,h2_consumption - ethanol upgrade,elec_consumption - ethanol upgrade,elec_consumption - ethanol prod.,elec_production - ethanol upgrade,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption - ethanol prod.,investment_cost - ethanol upgrade,investment_cost - ethanol prod.,fixed_om_cost - ethanol upgrade,fixed_om_cost - ethanol prod.,variable_om_cost - ethanol upgrade,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel),
MIDAT_Ethanol_to_JetFuel,0.77657339926858,0.0,1.1430920977382404,0.0,0.0,54.42919500629681,4.627818277253598,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-9.798863235205609,6.994460030891814,132.28008912121342,
NE_Ethanol_to_JetFuel,0.8271258761785186,0.0,1.378534363350976,0.0,0.0,54.42919500629681,4.627703823550399,44.35867113581186,6.597676873400485e-06,24.30359709379617,1.3995072247225035e-06,14.045350129172764,-8.599812810994896,-8.352610983273282,6.994460030891814,134.0122216619652,
CA_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.0581172500539116,0.0,0.0,54.25033433530679,4.6926179493771825,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-18.081970044104796,7.044158801877432,93.45476069129667,
NW_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.774389516825254,0.0,0.0,54.25033433530679,4.693296230017376,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-17.930095126024288,7.044158801877432,93.3235861567887,
SW_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.8105902051373055,0.0,0.0,54.25033433530679,4.693225446931318,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-16.333316364641814,7.044158801877432,94.95649482339716,
TX_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.5856769542332073,0.0,0.0,54.25033433530679,4.578905265231155,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-15.48358504550267,7.044158801877432,95.46699270993207,
NCEN_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.8892097667201011,0.0,0.0,54.25033433530679,4.611930041771302,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-11.98496124881194,7.044158801877432,99.30217409564982,
CEN_Ethanol_to_Gasoline_Diesel,0.0,0.0,0.7341673464706862,0.0,0.0,54.25033433530679,4.611895681049914,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-13.718360593144805,7.044158801877432,97.41369797034615,
SE_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.106349367684658,0.0,0.0,54.25033433530679,4.611889152512851,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-10.954950668137785,7.044158801877432,100.54928338803009,
MIDAT_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.1393357640356898,0.0,0.0,54.25033433530679,4.612610727661992,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-9.766663029911639,7.044158801877432,101.77127899775641,
NE_Ethanol_to_Gasoline_Diesel,0.0,0.0,1.3740043389553693,0.0,0.0,54.25033433530679,4.612496650066985,30.200900542001456,6.5759961391472e-06,16.546720181413264,1.394908281062942e-06,6.315426529445472,-8.571552824978474,-8.325163331239958,7.044158801877432,103.44733319375275,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
