UNSORTED,,,,,,,,,
id_LC,elec_production,elec_consumption,biomass_consumption,investment_cost,fixed_om_cost,variable_om_cost,modified capture cost,modified emissions cost,LCOE ($/MWh-fuel)
MIDAT_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,51.884495382429556,21.3883695781587,17.030229831491027,10.438834951456311,0.0,-0.0001923959490134903,100.74173734758658
NE_Gasoline_Gasification_Non_CCS_Wood,0.0,0.0,51.579390906491284,21.523945460052467,17.138180482886906,10.505004289390907,0.0,0.00017876743615679057,100.74669990625772
CA_Gasoline_Gasification_Non_CCS_Agri,0.0,0.0,69.11986217080975,22.230638623815942,17.700876342206893,10.849913856756093,0.0,-0.0005568234982304539,119.90073417009046
NW_Gasoline_Gasification_Non_CCS_Agri,0.0,0.0,65.6182721300883,24.317005365217582,19.36212055201018,11.868188671117812,0.0,0.0006447258413124945,121.16623144427518
SW_Gasoline_Gasification_Non_CCS_Agri,0.0,0.0,60.42535208289279,23.874784502158008,19.010007554024796,11.652357792345104,0.0,0.00016210408823689144,114.96266403550894
TX_Gasoline_Gasification_Non_CCS_Agri,0.0,0.0,61.696087263255,24.508353158019258,19.514478910942263,11.961578119064416,0.0,-0.00023720833222784586,117.6802602429487
NCEN_Gasoline_Gasification_Non_CCS_Agri,0.0,0.0,48.61310522481265,23.50205160505937,18.713223506033152,11.470441298917569,0.0,0.0003010458353268271,102.29912268065806
CEN_Gasoline_Gasification_Non_CCS_Agri,0.0,0.0,53.12460070263751,23.680741630896172,18.855503271560643,11.557652980965864,0.0,-0.0005537197572201889,107.21794486630297
SE_Gasoline_Gasification_Non_CCS_Agri,0.0,0.0,46.84146828299718,23.59783799993839,18.789492261047812,11.517190929041696,0.0,-4.881876136771417e-05,100.7459406542637
MIDAT_Gasoline_Gasification_Non_CCS_Agri,0.0,0.0,47.0017406481192,23.52898945726898,18.734672444093626,11.4835886214442,0.0,0.00060424655552773,100.74959541748154
NE_Gasoline_Gasification_Non_CCS_Agri,0.0,0.0,47.63634167696745,23.259962074722957,18.52046265409626,11.352286773794807,0.0,0.0003912883187795254,100.76944446790024
CA_Gasoline_Gasification_CCS_31_Herb,0.0,1.884072944961394,686.5876207681647,27.285633770447575,22.229374032760315,11.67451989705009,-19.699626369267328,-0.0004608761716058553,729.9611341679453
NW_Gasoline_Gasification_CCS_31_Herb,0.0,1.3758058863647586,69.61164255024939,27.224996034279357,22.179972984240674,11.648575238283371,-19.552904500672483,0.00030259101576305834,112.48839078376082
SW_Gasoline_Gasification_CCS_31_Herb,0.0,1.4497148686055183,62.588720855083274,27.406360661104788,22.32772920496592,11.726174496644296,-17.744725559289392,-0.0006524596863830798,107.75332206742803
TX_Gasoline_Gasification_CCS_31_Herb,0.0,1.0451265632440476,69.62489087301587,27.34518574891482,22.27789052370483,11.7,-16.824160539723536,0.00011480560804602549,115.16904797476408
NCEN_Gasoline_Gasification_CCS_31_Herb,0.0,1.5703380496293748,52.25927544057729,27.061948097693918,22.04713921544791,11.5788130185067,-13.107615273278224,5.990537903334135e-05,101.40995845395602
CEN_Gasoline_Gasification_CCS_31_Herb,0.0,1.3043458555484222,55.67463726603783,27.224996034279357,22.179972984240674,11.648575238283371,-14.923547421099258,0.0003025910157873881,103.10928254830617
SE_Gasoline_Gasification_CCS_31_Herb,0.0,1.9688826175117486,49.70701657185258,27.270786282370654,22.21727791035812,11.668167202572347,-11.887027609628118,-0.000604405044698541,100.94449856999262
MIDAT_Gasoline_Gasification_CCS_31_Herb,0.0,2.01641408087765,49.99329807645003,27.120526624594024,22.094862643670453,11.603876617307028,-10.679533506986658,0.0006319848332694001,102.1500765207458
NE_Gasoline_Gasification_CCS_31_Herb,0.0,2.422557354195256,50.1994550088218,27.018179998927796,22.01148171720689,11.560086257596549,-9.120891609829888,-0.00036753503948186976,104.09050119187893
CA_Gasoline_Gasification_CCS_31_Wood,0.0,1.770173445870536,75.42415829613095,25.63611163960765,20.88552236597328,10.96875,-19.869564980472962,0.00011480560804297085,114.81526557271752
NW_Gasoline_Gasification_CCS_31_Wood,0.0,1.2982288733398573,74.34448902558367,25.689871135566555,20.929319770627213,10.991751712568153,-19.38582495889597,-0.0006044050446992474,113.86723115374477
SW_Gasoline_Gasification_CCS_31_Wood,0.0,1.3716375626528694,67.44399811853246,25.930336062940867,21.125224504134028,11.094637817497649,-17.616468370832276,0.0005777255785113824,109.34994342050412
TX_Gasoline_Gasification_CCS_31_Wood,0.0,0.9988978104110368,76.06769591807708,26.1356347934444,21.292479635798102,11.182477599203526,-17.188292007656347,8.299299063636117e-05,118.48897674226842
NCEN_Gasoline_Gasification_CCS_31_Wood,0.0,1.5109988384582682,55.688817722356056,26.039343663413288,21.214032070185127,11.141278163525577,-13.043428727933396,0.00040006430396172563,102.55144179430887
CEN_Gasoline_Gasification_CCS_31_Wood,0.0,1.2468935524974036,61.27160041544709,26.02582120187531,21.203015435647693,11.135492399206875,-14.919016654191088,0.0002626407124783962,105.96406899119577
SE_Gasoline_Gasification_CCS_31_Wood,0.0,1.8721054615710255,54.40172859830668,25.930336062940867,21.125224504134028,11.094637817497649,-12.027997608170958,0.0005777255784997961,102.39661256185778
MIDAT_Gasoline_Gasification_CCS_31_Wood,0.0,1.9411626342410608,51.884495382429556,26.108403727119242,21.27029471739945,11.17082642671087,-10.70180361326511,-0.00019239594900182433,101.67318687868607
NE_Gasoline_Gasification_CCS_31_Wood,0.0,2.355822145410352,51.579390906491284,26.273898803647068,21.405122150314053,11.241635687732343,-9.34546535506865,0.0001787674361920102,103.51058310596264
CA_Gasoline_Gasification_CCS_31_Agri,0.0,1.8737784779719422,69.11986217080975,27.136546625553674,22.107914002357344,11.610730986955453,-19.51685075038559,-0.0005568234982062033,112.33142468976436
NW_Gasoline_Gasification_CCS_31_Agri,0.0,1.5000373353973722,65.6182721300883,29.683337534897845,24.18276292041188,12.700409218177903,-20.95368643230406,0.0006447258413124945,112.73177743251055
SW_Gasoline_Gasification_CCS_31_Agri,0.0,1.5416057613660394,60.42535208289279,29.143526363825483,23.742983345204557,12.46944385705223,-18.96646445757039,0.0001621040882629357,108.35660905685897
TX_Gasoline_Gasification_CCS_31_Agri,0.0,1.1434173503554566,61.696087263255,29.916912394753503,24.373054374444532,12.800347316437835,-17.823179198230186,-0.0002372083322144782,112.10640229268392
NCEN_Gasoline_Gasification_CCS_31_Agri,0.0,1.664725042100333,48.61310522481265,28.688537921426043,23.372308126451365,12.274771024146544,-13.87514548023059,0.0003010458353524647,100.73860290454172
